Total story drift angle (rad),Force in the actuator (kN)
0.013557252,512.9897118
0.010900763,175.6180995
0.009251908,-23.10764468
0.008427481,-83.18752083
0.007236641,-134.0243391
0.00659542,-203.3472731
0.005954198,-268.0486782
0.005312977,-332.7500833
0.00421374,-462.1528935
0.001374046,-730.2015717
-0.001648855,-961.2780185
-0.004122137,-1104.545415
-0.007145038,-1229.326697
-0.008610687,-1303.27116
-0.010992366,-1377.215623
-0.013282443,-1441.917028
-0.015206107,-1478.889259
-0.016946565,-1520.48302
-0.018320611,-1552.833722
-0.019145038,-1562.07678
-0.019603053,-1534.347606
-0.018687023,-1418.809383
-0.017221374,-1220.083639
-0.016122137,-1058.330126
-0.014015267,-794.9029768
-0.010717557,-355.857728
-0.008610687,-106.2951655
-0.005954198,124.7812812
-0.003572519,360.4792569
-0.002473282,452.9098356
0.001007634,762.5522743
0.004122137,970.5210764
0.006320611,1095.302358
0.008519084,1187.732936
0.009984733,1233.948226
0.014931298,1381.837152
0.016946565,1441.917028
0.019694656,1483.510788
0.022076336,1492.753846
0.023908397,1492.753846
0.026198473,1488.132317
0.028030534,1488.132317
0.029587786,1488.132317
0.030687023,1488.132317
0.030961832,1432.67397
0.030045802,1340.243391
0.025832061,762.5522743
0.02280916,406.6945463
0.020793893,166.3750417
0.018229008,-73.94446296
0.015572519,-318.8854965
0.012641221,-545.3404143
0.009435115,-781.03839
0.00659542,-965.8995474
0.003847328,-1081.437771
0.001282443,-1183.111407
3.66E-04,-1210.840581
9.16E-05,-1210.840581
-4.58E-04,-1220.083639
-0.001282443,-1252.434341
-0.004122137,-1344.86492
-0.007419847,-1441.917028
-0.009984733,-1483.510788
-0.013832061,-1548.212193
-0.018320611,-1599.049012
-0.021618321,-1612.913598
-0.024091603,-1617.535127
-0.026015267,-1612.913598
-0.026656489,-1608.292069
-0.027664122,-1589.805954
-0.02848855,-1589.805954
-0.029221374,-1594.427483
-0.028946565,-1520.48302
-0.027847328,-1344.86492
-0.024366412,-864.2259109
-0.021984733,-600.7987616
-0.018503817,-212.590331
-0.014748092,124.7812812
-0.011633588,383.5869016
-0.008793893,586.9341748
-0.006870229,734.8231007
-0.004030534,873.4689687
-0.001465649,993.628721
0.001282443,1081.437771
0.001740458,1109.166944
0.005770992,1220.083639
0.008610687,1275.541986
0.012091603,1340.243391
0.014473282,1372.594094
0.017679389,1395.701738
0.020610687,1404.944796
0.02280916,1404.944796
0.027022901,1400.323267
0.029862595,1400.323267
0.031419847,1381.837152
0.031328244,1312.514218
0.030687023,1233.948226
0.027480916,822.6321504
0.025374046,591.5557037
0.022900763,332.7500833
0.020152672,64.70140509
0.016763359,-194.1042153
0.014473282,-341.9931412
0.012732824,-452.9098356
0.010992366,-559.2050011
0.009526718,-651.6355798
0.007419847,-781.03839
0.004122137,-942.7919028
1.83E-04,-1086.0593
-0.002290076,-1146.139176
-0.003755725,-1173.86835
-0.004580153,-1173.86835
-0.005862595,-1192.354465
-0.007328244,-1238.569755
-0.008152672,-1266.298928
-0.009435115,-1275.541986
-0.010900763,-1298.649631
-0.012366412,-1326.378804
-0.013465649,-1358.729507
-0.014564885,-1381.837152
