Total story drift angle (rad),Force in the actuator (kN)
0.014479568,1542.401099
0.015219738,1563.457769
0.016515035,1600.306942
0.018365459,1637.156116
0.019475713,1658.212786
0.020215883,1658.212786
0.020678489,1647.684451
0.020863531,1600.306942
0.020400925,1531.872764
0.019290671,1310.777726
0.018180416,1168.645201
0.016329992,910.7009903
0.015219738,752.7759631
0.01383192,584.3226007
0.012906708,436.9259086
0.011796453,294.7933841
0.010593678,152.6608596
0.009668466,15.79250272
0.008188126,-105.2833515
0.007262914,-236.8875408
0.006522745,-300.0575517
0.005690054,-384.2842329
0.004764842,-500.0959195
0.003284503,-658.0209467
0.002359291,-758.0401307
7.86E-04,-884.3801524
-8.79E-04,-1015.984342
-0.002636854,-1121.267693
-0.005134927,-1263.400218
-0.00615266,-1316.041893
-0.008003084,-1410.79691
-0.009853508,-1473.966921
-0.012166538,-1547.665267
-0.014109483,-1605.57111
-0.016052429,-1637.156116
-0.01771781,-1663.476953
-0.019383192,-1689.797791
-0.020123362,-1663.476953
-0.020123362,-1573.986105
-0.018828065,-1337.098564
-0.017440247,-1121.267693
-0.016237471,-947.5501633
-0.014849653,-768.5684658
-0.013461835,-568.530098
-0.012166538,-379.0200653
-0.010223593,-121.0758542
-0.008928296,26.32083787
-0.007632999,147.3966921
-0.005782575,331.6425572
-0.004209715,489.5675844
-0.002359291,652.7567792
-4.16E-04,815.945974
0.001156515,937.0218282
0.014387047,1537.136932
0.016237471,1589.778607
0.017162683,1621.363613
0.019013107,1647.684451
0.021233616,1674.005289
0.023269082,1663.476953
0.024656901,1631.891948
0.027617579,1600.306942
0.029468003,1563.457769
0.030578258,1542.401099
0.0307633,1479.231088
0.030300694,1379.211904
0.028727833,1179.173537
0.027525058,968.6068336
0.026044719,821.2101415
0.024286816,600.1151034
0.021696222,263.2083787
0.020400925,84.22668118
0.017995374,-147.3966921
0.016792598,-289.5292166
0.014942174,-431.6617411
0.012351581,-631.7001089
0.010871241,-742.2476279
0.008743254,-900.1726551
0.005319969,-1052.833515
0.003006939,-1142.324364
-3.24E-04,-1279.19272
-0.002451812,-1368.683569
-0.004764842,-1447.646083
-0.008003084,-1521.344429
-0.010871241,-1573.986105
-0.013739399,-1621.363613
-0.016977641,-1652.948618
-0.018920586,-1658.212786
-0.020123362,-1663.476953
-0.021326137,-1652.948618
-0.022528913,-1637.156116
-0.024009252,-1621.363613
-0.025582113,-1605.57111
-0.026969931,-1584.51444
-0.028727833,-1568.721937
-0.029560524,-1531.872764
-0.029745567,-1479.231088
-0.029838088,-1379.211904
-0.029375482,-1305.513558
-0.027802621,-1068.626018
-0.025952197,-831.7384767
-0.024749422,-673.8134495
-0.022991519,-463.2467465
-0.020863531,-205.3025354
-0.018920586,-26.32083787
-0.017440247,121.0758542
-0.015034695,352.6992275
-0.01309175,531.680925
-0.010686199,689.6059522
-0.008928296,784.3609685
-0.007077872,884.3801524
-0.005227448,968.6068336
-0.00309946,1042.30518
-0.001711642,1100.211023
0.001156515,1184.437704
0.004209715,1279.19272
0.007540478,1342.362731
0.009668466,1373.947737
0.012259059,1426.589413
0.014572089,1447.646083
0.016977641,1463.438586
0.019383192,1479.231088
0.021233616,1468.702753
0.024101773,1458.174418
0.026507325,1442.381915
0.029468003,1437.117748
0.030948342,1421.325245
0.031225906,1373.947737
0.030948342,1268.664385
0.03002313,1121.267693
0.02845027,910.7009903
0.026969931,715.9267901
0.025212028,515.8884222
0.023176561,294.7933841
0.021973786,163.1891948
0.019660756,-47.37750817
0.017532768,-236.8875408
0.015682344,-384.2842329
0.013646877,-552.7375953
0.011703932,-673.8134495
0.010593678,-747.5117955
0.009020817,-800.1534712
0.007170393,-863.3234821
0.007077872,-800.1534712
0.007632999,-626.4359413
0.008558211,-436.9259086
0.00920586,-331.6425572
0.010316114,-194.7742002
0.011148805,-100.0191839
0.011611411,-36.84917302
0.012814187,-21.0566703
0.012721665,-115.8116866
0.011888975,-205.3025354
0.010501157,-384.2842329
0.00920586,-547.4734277
0.008188126,-689.6059522
0.007170393,-826.4743091
0.006615266,-879.1159849
0.005597533,-942.2859957
0.003654588,-1010.720174
0.001249036,-1084.41852
-3.24E-04,-1126.531861
-0.001896685,-1168.645201
-0.004394757,-1221.286877
-0.006245181,-1237.07938
-0.00772552,-1247.607715
-0.009760987,-1237.07938
-0.01151889,-1247.607715
-0.013461835,-1279.19272
-0.015497301,-1310.777726
-0.018180416,-1326.570229
-0.021141095,-1347.626899
-0.023916731,-1358.155234
-0.025304549,-1347.626899
-0.02613724,-1321.306061
-0.026784888,-1247.607715
-0.026322282,-1168.645201
-0.025119507,-963.342666
-0.023176561,-731.7192928
-0.020956052,-505.3600871
-0.01919815,-315.8500544
-0.017070162,-110.5475191
-0.01540478,26.32083787
-0.014016962,121.0758542
-0.011703932,279.0008814
-0.009946029,405.3409032
-0.007910563,531.680925
-0.00615266,636.9642764
-0.004302236,736.9834604
-0.002636854,810.6818064
-7.86E-04,884.3801524
0.002174248,1005.456007
0.00541249,1110.739358
0.006800308,1131.796028
0.009575944,1205.494374
0.011611411,1247.607715
0.013554356,1289.721056
0.015774865,1310.777726
0.017902853,1337.098564
0.020308404,1352.891067
0.022066307,1363.419402
0.023176561,1368.683569
0.024749422,1373.947737
0.025859676,1347.626899
0.026414803,1300.249391
0.026599846,1231.815212
0.025952197,1131.796028
0.023916731,905.4368227
0.021973786,673.8134495
0.020400925,515.8884222
0.018272938,247.415876
